球队,中文名,英文名,号码,位置,身高,体重,球龄,img_url
雄鹿,克里斯-利文斯顿,Chris Livingston,7,前锋,198,100,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_克里斯-利文斯顿.png
雄鹿,帕特-康诺顿,Pat Connaughton,24,后卫,196,95,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_帕特-康诺顿.png
雄鹿,小凯文-波特,Kevin Porter Jr.,3,后卫/前锋,193,92,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_小凯文-波特.png
雄鹿,托里恩-普林斯,Taurean Prince,12,前锋,198,99,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_托里恩-普林斯.png
雄鹿,A.J. 格林,AJ Green,20,后卫,193,86,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_A.J. 格林.png
雄鹿,达米安-利拉德,Damian Lillard,-,后卫,188,88,12,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_达米安-利拉德.png
雄鹿,鲍比-波蒂斯,Bobby Portis,9,前锋,208,113,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_鲍比-波蒂斯.png
雄鹿,凯尔-库兹马,Kyle Kuzma,18,前锋,206,100,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_凯尔-库兹马.png
雄鹿,杰里乔-希姆斯,Jericho Sims,00,中锋,208,113,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_杰里乔-希姆斯.png
雄鹿,小加里-特伦特,Gary Trent Jr.,5,后卫,196,93,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_小加里-特伦特.png
雄鹿,皮特-南斯,Pete Nance,35,前锋,208,102,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_皮特-南斯.png
雄鹿,斯坦利-乌穆德,Stanley Umude,17,后卫,198,95,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_斯坦利-乌穆德.png
雄鹿,贾梅里-布耶,Jamaree Bouyea,15,后卫,188,82,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_贾梅里-布耶.png
活塞,托拜亚斯-哈里斯,Tobias Harris,12,前锋,203,102,13,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_托拜亚斯-哈里斯.png
活塞,小蒂姆-哈达威,Tim Hardaway Jr.,8,后卫/前锋,196,93,11,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_小蒂姆-哈达威.png
活塞,保罗-里德,Paul Reed,7,前锋,206,95,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_保罗-里德.png
活塞,奥萨尔-汤普森,Ausar Thompson,9,后卫/前锋,198,93,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_奥萨尔-汤普森.png
